"Time / s","Pulse Generator","Iout:Measured current"
0.00033285922256985466,1.25,9.1717904934465651
0.00033291796033067236,1.25,9.1206260744931313
0.00033297669809149012,1.25,9.0697470742365454
0.00033303543585230788,1.25,9.0191519005118153
0.00033309417361312565,1.25,8.9688389699254856
0.00033315291137394341,1.25,8.918806707855822
0.00033321164913476117,1.25,8.8690535484526549
0.00033327038689557887,1.25,8.8195779346374792
0.00033332912465639663,1.25,8.7703783181034538
0.00033338384275361296,1.25,8.724792589494399
0.00033339280099828203,1.25,8.7173520661021087
0.00033339280099829147,1.25,8.7173520660942643
0.00033344805388087423,1.25,8.6716002789506632
0.00033350330676345705,1.25,8.6260886133801904
0.00033355855964603982,1.25,8.5808158094133802
0.00033361381252862264,1.25,8.5357806135494769
0.0003336690654112054,1.25,8.4909817787565203
0.00033372431829378817,1.25,8.4464180644713025
0.00033373956813962871,1.25,8.4341596758452653
0.00033373956813963814,1.25,8.4341596758376909
0.00033380150422138388,1.25,8.3851411984638133
0.00033386344030312957,1.25,8.3375809374783074
0.00033392537638487531,1.25,8.2914705912640727
0.00033398731246662099,1.25,8.2468018959239515
0.00033404924854836673,1.25,8.2035666252806294
0.00033411118463011241,1.25,8.1617565908766352
0.00033417312071185815,1.25,8.1213636419744972
0.00033423505679360384,1.25,8.0823796655565019
0.00033429699287534958,1.25,8.0447965863249067
0.00033435892895709532,1.25,8.0086063667018266
0.00033445558537948815,1.25,7.9548924780942656
0.00033455224180188099,1.25,7.9045210824383503
0.00033464889822427382,1.25,7.8574621841054437
0.00033474555464666671,1.25,7.8136859984047788
0.00033484221106905955,1.25,7.7731629515835721
0.00033493886749145238,1.25,7.7358636808269381
0.00033503552391384522,1.25,7.7017590342579609
0.00033513218033623805,1.25,7.6708200709376229
0.00033522883675863089,1.25,7.6430180608648897
0.00033532549318102378,1.25,7.618324484976597
0.00033537085921422964,1.25,7.6077982853770436
0.00033541622524743551,1.25,7.5979477011581338
0.00033546159128064137,1.25,7.5887698309472285
0.00033550695731384724,1.25,7.5802617831583206
0.0003355523233470531,1.25,7.572420675991907
0.00033559768938025897,1.25,7.5652436374351879
0.00033564305541346483,1.25,7.558727805261853
0.0003356884214466707,1.25,7.552870327032295
0.00033573378747987651,1.25,7.5476683600933967
0.00033577915351308237,1.25,7.5431190715787153
0.00033582451954628824,1.25,7.5392196382041874
0.0003358698855794941,1.25,7.5359672465543213
0.00033591525161269997,1.25,7.533359093015406
0.00033596061764590583,1.25,7.5313923834535501
0.0003360059836791117,1.25,7.5300643332147672
0.00033605134971231756,1.25,7.5293721671249472
0.00033609671574552343,1.25,7.5293131194897711
0.00033614208177872929,1.25,7.5298844340949103
0.0003361874478119351,1.25,7.5310833642058697
0.00033623281384514097,1.25,7.5329071725679455
0.00033629865497084558,1.25,7.5366601028527924
0.00033636449609655015,1.25,7.5417152036543484
0.00033643033722225476,1.25,7.5480642137827658
0.00033649617834795932,1.25,7.5556989124218035
0.00033656201947366394,1.25,7.5646111191287417
0.0003366278605993685,1.25,7.5747926938344392
0.00033669370172507312,1.25,7.5862355368433612
